record_id,timestamp,dht_temperature,gridEye_array,current_people_count,net_crossing_count,current_objects_count
3140,2025-05-27T19:07:02.996165,29.1,"[28.0, 28.0, 27.75, 28.0, 28.0, 28.25, 27.5, 28.0, 28.0, 27.5, 27.5, 27.5, 27.75, 27.5, 27.75, 27.75, 27.75, 27.5, 27.75, 28.0, 28.0, 27.5, 28.0, 27.75, 27.75, 27.75, 27.25, 27.5, 27.75, 28.0, 28.0, 28.25, 27.75, 27.5, 28.0, 27.75, 28.25, 28.0, 28.25, 28.5, 27.0, 27.5, 28.0, 28.0, 29.5, 29.75, 29.75, 29.5, 27.75, 27.75, 27.5, 29.0, 30.0, 30.25, 30.5, 29.5, 27.5, 28.0, 27.5, 28.25, 29.5, 29.25, 29.5, 29.5]",1,0,0
3141,2025-05-27T19:07:03.136039,29.1,"[27.5, 27.75, 27.0, 28.0, 28.0, 28.25, 27.25, 28.25, 28.25, 27.5, 27.75, 27.5, 27.5, 27.75, 27.75, 27.25, 28.0, 27.75, 27.5, 28.0, 28.25, 27.5, 27.5, 27.75, 27.5, 27.5, 27.0, 27.25, 27.75, 28.0, 27.75, 28.0, 27.25, 27.75, 28.0, 27.25, 28.0, 27.75, 28.25, 28.5, 27.25, 27.25, 27.5, 28.25, 29.25, 29.25, 29.75, 29.5, 27.5, 27.25, 27.75, 28.75, 30.0, 29.75, 30.25, 29.0, 27.25, 27.25, 27.5, 28.0, 29.75, 29.25, 29.25, 28.75]",1,0,0
3142,2025-05-27T19:07:03.279329,29.1,"[27.5, 27.75, 27.0, 28.0, 28.0, 28.25, 27.25, 28.25, 28.25, 27.5, 27.75, 27.5, 27.5, 27.75, 27.75, 27.25, 28.0, 27.75, 27.5, 28.0, 28.25, 27.5, 27.5, 27.75, 27.5, 27.5, 27.0, 27.25, 27.75, 28.0, 27.75, 28.0, 27.25, 27.75, 28.0, 27.25, 28.0, 27.75, 28.25, 28.5, 27.25, 27.25, 27.5, 28.25, 29.25, 29.25, 29.75, 29.5, 27.5, 27.25, 27.75, 28.75, 30.0, 29.75, 30.25, 29.0, 27.25, 27.25, 27.5, 28.0, 29.75, 29.25, 29.25, 28.75]",1,0,0
3143,2025-05-27T19:07:03.415769,29.1,"[27.25, 27.75, 27.75, 28.25, 27.5, 28.0, 27.25, 28.25, 28.0, 28.0, 27.75, 27.5, 28.0, 28.0, 28.0, 28.0, 28.0, 27.75, 28.25, 27.75, 28.25, 27.75, 28.0, 27.75, 28.0, 27.5, 27.5, 27.5, 27.5, 27.75, 28.0, 28.5, 27.75, 28.0, 27.75, 27.5, 28.0, 27.75, 28.75, 28.75, 26.75, 27.5, 28.0, 28.0, 29.5, 30.0, 30.25, 29.25, 27.25, 27.25, 27.75, 29.0, 30.25, 29.5, 30.5, 29.5, 27.75, 27.75, 27.75, 28.25, 29.75, 29.5, 29.25, 29.5]",1,0,0
3144,2025-05-27T19:07:03.555348,29.1,"[27.25, 27.75, 27.75, 28.25, 27.5, 28.0, 27.25, 28.25, 28.0, 28.0, 27.75, 27.5, 28.0, 28.0, 28.0, 28.0, 28.0, 27.75, 28.25, 27.75, 28.25, 27.75, 28.0, 27.75, 28.0, 27.5, 27.5, 27.5, 27.5, 27.75, 28.0, 28.5, 27.75, 28.0, 27.75, 27.5, 28.0, 27.75, 28.75, 28.75, 26.75, 27.5, 28.0, 28.0, 29.5, 30.0, 30.25, 29.25, 27.25, 27.25, 27.75, 29.0, 30.25, 29.5, 30.5, 29.5, 27.75, 27.75, 27.75, 28.25, 29.75, 29.5, 29.25, 29.5]",1,0,0
3145,2025-05-27T19:07:03.693718,29.1,"[27.5, 27.75, 27.5, 28.0, 27.75, 27.5, 27.25, 27.75, 27.75, 27.25, 27.75, 27.5, 27.75, 27.25, 28.25, 27.75, 27.25, 27.25, 27.25, 27.75, 28.0, 27.5, 27.5, 27.5, 27.75, 27.25, 27.25, 27.5, 27.5, 27.5, 27.75, 28.0, 27.75, 27.75, 27.5, 27.75, 28.25, 28.0, 28.75, 28.0, 27.0, 27.0, 27.5, 27.5, 29.0, 29.5, 30.0, 29.0, 27.0, 27.25, 27.25, 28.75, 30.25, 30.0, 30.0, 29.0, 27.75, 27.0, 27.25, 28.25, 29.5, 29.75, 29.25, 29.0]",1,0,0
3146,2025-05-27T19:07:03.817820,29.1,"[27.25, 28.0, 27.5, 27.75, 27.75, 27.5, 27.5, 27.75, 28.0, 27.5, 27.5, 28.0, 27.75, 27.5, 28.0, 28.25, 27.5, 27.75, 27.75, 28.0, 28.0, 27.75, 28.0, 28.25, 27.5, 27.5, 27.5, 27.5, 27.5, 27.75, 28.0, 28.0, 27.5, 27.75, 28.0, 28.0, 28.0, 28.5, 29.0, 28.75, 26.75, 27.75, 27.75, 28.25, 29.25, 30.5, 30.25, 29.0, 27.5, 27.5, 27.5, 29.0, 30.25, 30.25, 29.75, 29.0, 27.75, 27.75, 28.0, 28.25, 29.5, 29.5, 29.5, 29.0]",1,0,0
3147,2025-05-27T19:07:03.944843,29.1,"[27.25, 28.0, 27.5, 27.75, 27.75, 27.5, 27.5, 27.75, 28.0, 27.5, 27.5, 28.0, 27.75, 27.5, 28.0, 28.25, 27.5, 27.75, 27.75, 28.0, 28.0, 27.75, 28.0, 28.25, 27.5, 27.5, 27.5, 27.5, 27.5, 27.75, 28.0, 28.0, 27.5, 27.75, 28.0, 28.0, 28.0, 28.5, 29.0, 28.75, 26.75, 27.75, 27.75, 28.25, 29.25, 30.5, 30.25, 29.0, 27.5, 27.5, 27.5, 29.0, 30.25, 30.25, 29.75, 29.0, 27.75, 27.75, 28.0, 28.25, 29.5, 29.5, 29.5, 29.0]",1,0,0
3148,2025-05-27T19:07:04.079533,29.1,"[27.25, 28.0, 27.5, 27.75, 27.75, 27.5, 27.5, 27.75, 28.0, 27.5, 27.5, 28.0, 27.75, 27.5, 28.0, 28.25, 27.5, 27.75, 27.75, 28.0, 28.0, 27.75, 28.0, 28.25, 27.5, 27.5, 27.5, 27.5, 27.5, 27.75, 28.0, 28.0, 27.5, 27.75, 28.0, 28.0, 28.0, 28.5, 29.0, 28.75, 26.75, 27.75, 27.75, 28.25, 29.25, 30.5, 30.25, 29.0, 27.5, 27.5, 27.5, 29.0, 30.25, 30.25, 29.75, 29.0, 27.75, 27.75, 28.0, 28.25, 29.5, 29.5, 29.5, 29.0]",1,0,0
3149,2025-05-27T19:07:04.210061,29.1,"[27.75, 27.75, 27.75, 27.75, 28.0, 27.75, 27.75, 28.5, 28.0, 27.5, 27.75, 27.5, 27.75, 27.5, 27.25, 28.0, 27.75, 28.0, 27.0, 27.75, 27.5, 27.5, 27.5, 27.75, 28.25, 27.5, 27.25, 27.5, 28.0, 28.0, 28.0, 28.0, 28.0, 27.5, 27.75, 27.75, 28.0, 29.5, 29.25, 28.25, 27.0, 28.0, 28.0, 28.25, 29.25, 30.5, 29.0, 28.5, 27.75, 27.0, 27.0, 29.25, 30.0, 30.0, 29.5, 29.25, 27.25, 28.0, 27.75, 28.75, 29.5, 29.0, 29.25, 29.0]",1,0,0
